Author	n (strains)	publication title	journal	publication URL	strains
Tsuyoshi Sekizuka et al	16	unknown	unknown	unknown	hCoV-19/Japan/NA-20-05-1/2020,hCoV-19/Japan/IC-1711/2021,hCoV-19/Japan/IC-1714/2021,hCoV-19/Japan/PG-71244/2021,hCoV-19/Japan/PG-1896/2020,hCoV-19/Japan/PG-6331/2020,hCoV-19/Japan/PG-9616/2020,hCoV-19/Japan/PG-6359/2020,hCoV-19/Japan/PG-11103/2020,hCoV-19/Japan/PG-11131/2020,hCoV-19/Japan/PG-14611/2020,hCoV-19/Japan/PG-64433/2021,hCoV-19/Japan/PG-68623/2021,hCoV-19/Japan/PG-44584/2021,hCoV-19/Japan/PG-56357/2021,hCoV-19/Japan/PG-62545/2021
Kuo-Chien Tsao et al	1	SARS-CoV-2 genomic surveillance in Taiwan revealed novel ORF8-deletion mutant and clade possibly associated with infections in Middle East	unknown	https://dx.doi.org/10.1080/22221751.2020.1782271	hCoV-19/Taiwan/CGMH-CGU-01/2020
Yoong Min CHONG et al	3	unknown	unknown	unknown	hCoV-19/Malaysia/6359/2020,hCoV-19/Malaysia/0581/2020,hCoV-19/Malaysia/9777/2021
Teemu Smura et al A	14	unknown	unknown	unknown	hCoV-19/Finland/1/2020,hCoV-19/Finland/1LS16D10/2020,hCoV-19/Finland/4LS8E1/2020,hCoV-19/Finland/20MS4A7/2020,hCoV-19/Finland/31TouS8B58/2020,hCoV-19/Finland/12TouS13H11/2020,hCoV-19/Finland/6119/2021,hCoV-19/Finland/8995/2021,hCoV-19/Finland/10501/2021,hCoV-19/Finland/9579/2021,hCoV-19/Finland/10012/2021,hCoV-19/Finland/18ES5AH5/2020,hCoV-19/Finland/8126/2021,hCoV-19/Finland/6190/2021
Meumann et al	28	unknown	unknown	unknown	hCoV-19/Australia/NT43/2020,hCoV-19/Australia/NT52/2020,hCoV-19/Australia/NT28/2020,hCoV-19/Australia/NT17/2020,hCoV-19/Australia/NT67/2020,hCoV-19/Australia/NT85/2020,hCoV-19/Australia/NT206/2021,hCoV-19/Australia/NT157/2021,hCoV-19/Australia/NT163/2021,hCoV-19/Australia/NT195/2021,hCoV-19/Australia/NT196/2021,hCoV-19/Australia/NT166/2021,hCoV-19/Australia/NT331/2021,hCoV-19/Australia/NT340/2021,hCoV-19/Australia/NT337/2021,hCoV-19/Australia/NT335/2021,hCoV-19/Australia/NT339/2021,hCoV-19/Australia/NT344/2021,hCoV-19/Australia/NT338/2021,hCoV-19/Australia/NT227/2021,hCoV-19/Australia/NT159/2021,hCoV-19/Australia/NT219/2021,hCoV-19/Australia/NT41/2020,hCoV-19/Australia/NT91/2021,hCoV-19/Australia/NT53/2020,hCoV-19/Australia/NT194/2021,hCoV-19/Australia/NT150/2021,hCoV-19/Australia/NT153/2021
Edison Johar et al	2	unknown	unknown	unknown	hCoV-19/Indonesia/JK-EIJK-07/2020,hCoV-19/Indonesia/JB-EIJK-WJHL-0088/2021
Stephanie Hutchings et al	1	unknown	unknown	unknown	hCoV-19/England/BRIS-12E78E/2020
Shakeel et al	1	unknown	unknown	unknown	hCoV-19/Pakistan/KHI1/2020
Rima R Prasetya et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JI-ITD-3101NT/2020
Ivan Ivanov et al	2	unknown	unknown	unknown	hCoV-19/Bulgaria/15/2020,hCoV-19/Bulgaria/17/2020
Ilhem Boutiba-Ben Boubaker et al	2	unknown	unknown	unknown	hCoV-19/Tunisia/7899/2020,hCoV-19/Tunisia/19695/2020
Baowen Du et al	1	unknown	unknown	unknown	hCoV-19/Wuhan/HB-WHCM-108/2020
Cherng-Lih Perng et al	5	unknown	unknown	unknown	hCoV-19/Taiwan/TSGH-26/2020,hCoV-19/Taiwan/TSGH-01/2020,hCoV-19/Taiwan/TSGH-34/2020,hCoV-19/Taiwan/TSGH-39/2021,hCoV-19/Taiwan/TSGH-41/2021
J Yavarian et al	3	unknown	unknown	unknown	hCoV-19/Iran/Tehran-09/2020,hCoV-19/Iran/Yazd-NIC-Y3/2021,hCoV-19/Iran/Tehran-NIC-24/2021
Zohreh Fattahi et al	6	unknown	unknown	unknown	hCoV-19/Iran/GRC-7/2020,hCoV-19/Iran/GRC-9842/2020,hCoV-19/Iran/T10013/2020,hCoV-19/Iran/GRC-T9129/2021,hCoV-19/Iran/GRC-10532/2020,hCoV-19/Iran/GRC-T9778/2020
Matt Storey et al A	1	An emergent clade of SARS-CoV-2 linked to returned travellers from Iran	unknown	https://dx.doi.org/10.1101/2020.03.15.992818	hCoV-19/NewZealand/20VR0174/2020
Eden J-S et al	2	Revealing COVID-19 transmission in Australia by SARS-CoV-2 genome sequencing and agent-based modeling	unknown	https://www.nature.com/articles/s41591-020-1000-7	hCoV-19/Australia/NSW07/2020,hCoV-19/Australia/NSW04/2020
Fahd Al-Mulla et al	2	unknown	unknown	unknown	hCoV-19/Kuwait/KU17/2020,hCoV-19/Kuwait/KU18/2020
Rita Feghali et al	1	unknown	unknown	unknown	hCoV-19/Lebanon/S5_762/2020
Nato Kotaria et al	2	unknown	unknown	unknown	hCoV-19/Georgia/Tb-82/2020,hCoV-19/Georgia/Tb-1352/2020
A Nejati et al	1	unknown	unknown	unknown	hCoV-19/Iran/Tehran-08/2020
NZ Shafiei Jandaghi et al	2	unknown	unknown	unknown	hCoV-19/Iran/Qom-907/2020,hCoV-19/Iran/Kerman-NIC-K2/2021
Daniel F Gudbjartsson et al A	1	Spread of SARS-CoV-2 in the Icelandic Population	unknown	https://dx.doi.org/10.1056/NEJMoa2006100	hCoV-19/Iceland/13/2020
Maria R. Capobianchi et al	1	The first two cases of 2019-nCoV in Italy: Where they come from?	unknown	https://dx.doi.org/10.1002/jmv.25699	hCoV-19/Italy/LAZ-INMI1-cs/2020
M.E. Quiñones-Mateu et al	1	unknown	unknown	unknown	hCoV-19/NewZealand/CoV002/2020
Xiaoyun Ren et al	54	unknown	unknown	unknown	hCoV-19/NewZealand/20VR3167/2020,hCoV-19/NewZealand/20CV0306/2020,hCoV-19/NewZealand/20VR2572/2020,hCoV-19/NewZealand/20CV0274/2020,hCoV-19/NewZealand/20CV0604/2020,hCoV-19/NewZealand/21CV0188/2021,hCoV-19/NewZealand/20CV0065/2020,hCoV-19/NewZealand/20CV0362/2020,hCoV-19/NewZealand/20CV0563/2020,hCoV-19/NewZealand/20CV0298/2020,hCoV-19/NewZealand/20CV0329/2020,hCoV-19/NewZealand/20CV0273/2020,hCoV-19/NewZealand/21CV0116/2021,hCoV-19/NewZealand/21MV0077/2021,hCoV-19/NewZealand/20CV0675/2020,hCoV-19/NewZealand/20CV0267/2020,hCoV-19/NewZealand/21CV0124/2021,hCoV-19/NewZealand/21CV0102/2021,hCoV-19/NewZealand/21CV0140/2021,hCoV-19/NewZealand/20VR1959/2020,hCoV-19/NewZealand/20CV0598/2020,hCoV-19/NewZealand/20VR3491/2020,hCoV-19/NewZealand/20VR3476/2020,hCoV-19/NewZealand/20VR3128/2020,hCoV-19/NewZealand/20CV0401/2020,hCoV-19/NewZealand/20CV0487/2020,hCoV-19/NewZealand/21CV0234/2021,hCoV-19/NewZealand/21CV0205/2021,hCoV-19/NewZealand/21CV0235/2021,hCoV-19/NewZealand/21CV0206/2021,hCoV-19/NewZealand/21CV0207/2021,hCoV-19/NewZealand/21CV0213/2021,hCoV-19/NewZealand/21CV0217/2021,hCoV-19/NewZealand/21CV0209/2021,hCoV-19/NewZealand/21CV0216/2021,hCoV-19/NewZealand/21CV0221/2021,hCoV-19/NewZealand/21CV0231/2021,hCoV-19/NewZealand/21CV0225/2021,hCoV-19/NewZealand/20CV0627/2020,hCoV-19/NewZealand/20VR3879/2020,hCoV-19/NewZealand/20CV0079/2020,hCoV-19/NewZealand/20CV0128/2020,hCoV-19/NewZealand/20CV0341/2020,hCoV-19/NewZealand/20VR3919/2020,hCoV-19/NewZealand/20VR3804/2020,hCoV-19/NewZealand/20CV0466/2020,hCoV-19/NewZealand/20VR3066/2020,hCoV-19/NewZealand/20VR3060/2020,hCoV-19/NewZealand/20CV0405/2020,hCoV-19/NewZealand/20CV0499/2020,hCoV-19/NewZealand/20CV0687/2020,hCoV-19/NewZealand/21CV0068/2021,hCoV-19/NewZealand/21CV0111/2021,hCoV-19/NewZealand/20CV0692/2020
WCMQ: Ayeda A. Ahmed et al	6	unknown	unknown	unknown	hCoV-19/Qatar/QA-WCMQ_FD15506530/2020,hCoV-19/Qatar/QA-WCMQ_FD15506545/2020,hCoV-19/Qatar/QA-WCMQ_FD15506593/2020,hCoV-19/Qatar/QA-WCMQ_FD17462361/2020,hCoV-19/Qatar/QA-WCMQ_FD15617957/2020,hCoV-19/Qatar/QA-WCMQ_FD15506527/2020
Kuenyoul Park et al	1	unknown	unknown	unknown	hCoV-19/SouthKorea/A2/2020
Jeong-Min Kim et al	2	unknown	unknown	unknown	hCoV-19/SouthKorea/KCDC2098/2020,hCoV-19/SouthKorea/KCDC2111/2020
Ashley Jones et al	8	unknown	unknown	unknown	hCoV-19/Australia/ACT0071/2020,hCoV-19/Australia/ACT0084/2020,hCoV-19/Australia/ACT0098/2021,hCoV-19/Australia/ACT0074/2020,hCoV-19/Australia/ACT0100/2021,hCoV-19/Australia/ACT0101/2021,hCoV-19/Australia/ACT0089/2020,hCoV-19/Australia/ACT0073/2020
Naranzul Ts et al	4	unknown	unknown	unknown	hCoV-19/Mongolia/3631/2020,hCoV-19/Mongolia/149318/2020,hCoV-19/Mongolia/30/2020,hCoV-19/Mongolia/1853/2020
Matt Storey et al B	10	unknown	unknown	unknown	hCoV-19/NewZealand/20VR2108/2020,hCoV-19/NewZealand/20VR1950/2020,hCoV-19/NewZealand/20VR1900/2020,hCoV-19/NewZealand/20VR2038/2020,hCoV-19/NewZealand/20VR0914/2020,hCoV-19/NewZealand/20VR1782/2020,hCoV-19/NewZealand/20VR0933/2020,hCoV-19/NewZealand/20VR1805/2020,hCoV-19/NewZealand/20VR0712/2020,hCoV-19/NewZealand/20VR2485/2020
Iglesias-Caballero et al	1	Phylodynamics of SARS-CoV-2 transmission in Spain	unknown	https://dx.doi.org/10.1101/2020.04.20.050039	hCoV-19/Spain/AN-ISCIII-201272/2020
Joseph Fauver et al	13	unknown	unknown	unknown	hCoV-19/USA/CT-Yale-375/2020,hCoV-19/USA/CT-Yale-397/2020,hCoV-19/USA/VI-Yale-6054/2021,hCoV-19/DominicanRepublic/Yale-6219/2021,hCoV-19/DominicanRepublic/Yale-5430/2021,hCoV-19/DominicanRepublic/Yale-5479/2021,hCoV-19/DominicanRepublic/Yale-6297/2021,hCoV-19/USA/VI-Yale-6993/2021,hCoV-19/DominicanRepublic/Yale-6278/2021,hCoV-19/USA/PR-Yale-6025/2021,hCoV-19/USA/VI-Yale-5838/2021,hCoV-19/USA/VI-Yale-5830/2021,hCoV-19/USA/VI-Yale-5623/2021
Sachin Chalapati et al	1	unknown	unknown	unknown	hCoV-19/Ireland/LD-NVRL-20Z16203/2020
Mounerou SALOU et al	6	unknown	unknown	unknown	hCoV-19/Togo/BMC-395-20/2020,hCoV-19/Togo/BMC-529-20/2020,hCoV-19/Togo/BMC-1011-20/2020,hCoV-19/Togo/IBMC-736-20/2020,hCoV-19/Togo/BMC-27062-20/2020,hCoV-19/Togo/BMC-19125-20/2020
Lex Leong et al	19	unknown	unknown	unknown	hCoV-19/Australia/SA0097/2020,hCoV-19/Australia/SA0564/2020,hCoV-19/Australia/SA0677/2021,hCoV-19/Australia/SA0683/2021,hCoV-19/Australia/SA0212/2020,hCoV-19/Australia/SA0609/2021,hCoV-19/Australia/SA0500/2020,hCoV-19/Australia/SA0146/2020,hCoV-19/Australia/SA0350/2020,hCoV-19/Australia/SA0481/2020,hCoV-19/Australia/SA0474/2020,hCoV-19/Australia/SA0684/2021,hCoV-19/Australia/SA0648/2021,hCoV-19/Australia/SA0602/2020,hCoV-19/Australia/SA0675/2021,hCoV-19/Australia/SA0672/2021,hCoV-19/Australia/SA0678/2021,hCoV-19/Australia/SA0681/2021,hCoV-19/Australia/SA0670/2021
David Perera et al	2	unknown	unknown	unknown	hCoV-19/Malaysia/UNIMAS-14960/2020,hCoV-19/Malaysia/UNIMAS-C012N/2020
Lei Lanna Dancel et al	3	unknown	unknown	unknown	hCoV-19/Philippines/PH-RITM-0062/2020,hCoV-19/Philippines/PH-RITM-0070/2020,hCoV-19/Philippines/PH-RITM-0060/2020
Carlo M. Lapid et al	1	unknown	unknown	unknown	hCoV-19/Philippines/PGC03/2020
Ali et al	1	unknown	unknown	unknown	hCoV-19/Pakistan/KP-RMI-01/2020
Mulenga Mwenda-Chimfwembe et al	24	unknown	unknown	unknown	hCoV-19/Zambia/ZMB-319/2020,hCoV-19/Zambia/ZMB-1324/2020,hCoV-19/Zambia/ZMB-93786/2021,hCoV-19/Zambia/ZMB-79195/2021,hCoV-19/Zambia/ZMB-93771/2021,hCoV-19/Zambia/ZMB-93772/2021,hCoV-19/Zambia/ZMB-70198/2020,hCoV-19/Zambia/ZMB-93775/2021,hCoV-19/Zambia/ZMB-94239/2021,hCoV-19/Zambia/ZMB-94238/2021,hCoV-19/Zambia/ZMB-94237/2021,hCoV-19/Zambia/ZMB-98166/2021,hCoV-19/Zambia/ZMB-98231/2021,hCoV-19/Zambia/ZMB-98281/2021,hCoV-19/Zambia/ZMB-98254/2021,hCoV-19/Zambia/ZMB-98305/2021,hCoV-19/Zambia/ZMB-98245/2021,hCoV-19/Zambia/ZMB-98149/2021,hCoV-19/Zambia/ZMB-39703/2020,hCoV-19/Zambia/ZMB-43380/2020,hCoV-19/Zambia/ZMB-42393/2020,hCoV-19/Zambia/ZMB-44990/2020,hCoV-19/Zambia/ZMB-34496/2020,hCoV-19/Zambia/ZMB-39814/2020
Ma. Angelica Tujan et al	1	unknown	unknown	unknown	hCoV-19/Philippines/PH-RITM-0020/2020
Tze Minn Mak et al	25	unknown	unknown	unknown	hCoV-19/PapuaNewGuinea/3/2020,hCoV-19/PapuaNewGuinea/8/2020,hCoV-19/PapuaNewGuinea/2/2020,hCoV-19/PapuaNewGuinea/12/2020,hCoV-19/PapuaNewGuinea/18/2020,hCoV-19/PapuaNewGuinea/52/2020,hCoV-19/PapuaNewGuinea/12/2021,hCoV-19/Singapore/760/2021,hCoV-19/PapuaNewGuinea/4/2021,hCoV-19/Singapore/1416/2020,hCoV-19/Singapore/1104/2020,hCoV-19/Singapore/1412/2020,hCoV-19/Singapore/700/2021,hCoV-19/Singapore/1484/2021,hCoV-19/Singapore/1054/2021,hCoV-19/Singapore/3047/2021,hCoV-19/Singapore/2486/2021,hCoV-19/Singapore/3107/2021,hCoV-19/Singapore/1831/2021,hCoV-19/Singapore/1092/2021,hCoV-19/Singapore/1654/2021,hCoV-19/Singapore/1034/2020,hCoV-19/Singapore/1526/2020,hCoV-19/Brunei/7/2020,hCoV-19/Singapore/111/2021
Mohd Noor Mat Isa et al	1	unknown	unknown	unknown	hCoV-19/Malaysia/MGI-MAEPS41/2020
Christian Ranaivoson et al	5	unknown	unknown	unknown	hCoV-19/Madagascar/VIRO-2728/2020,hCoV-19/Madagascar/IP-01861/2020,hCoV-19/Madagascar/IPM-02259/2021,hCoV-19/Madagascar/IPM-01791/2021,hCoV-19/Madagascar/IPM-01919/2021
Mak TM et al	6	unknown	unknown	unknown	hCoV-19/Singapore/335/2020,hCoV-19/Singapore/812/2020,hCoV-19/Singapore/320/2020,hCoV-19/Singapore/700/2020,hCoV-19/Singapore/383/2020,hCoV-19/Singapore/977/2020
Nurdyana Abdul Rahman et al	2	unknown	unknown	unknown	hCoV-19/Singapore/1060/2020,hCoV-19/Singapore/71_2/2021
Monica Galiano et al	1	Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages	unknown	https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507	hCoV-19/England/01/2020
Caly et al	1	unknown	unknown	unknown	hCoV-19/Australia/VIC1435/2020
Shengyue Wang et al	1	unknown	unknown	unknown	hCoV-19/Shanghai/SH0005/2020
Lednicky et al	1	unknown	unknown	unknown	hCoV-19/env/USA/FL-UF11/2020
Anna Majer et al	24	unknown	unknown	unknown	hCoV-19/Canada/NB_54/2020,hCoV-19/Canada/MB-NML-416/2020,hCoV-19/Canada/SK-NML-17023/2021,hCoV-19/Canada/SK-NML-17319/2020,hCoV-19/Canada/NS-NML-5503/2020,hCoV-19/Canada/MB-NML-17607/2021,hCoV-19/Canada/NB-NML-49157/2021,hCoV-19/Canada/NL-NML-5790/2020,hCoV-19/Canada/NS-NML-117291/2021,hCoV-19/Canada/MB-NML-86789/2021,hCoV-19/Canada/NL-NML-97345/2021,hCoV-19/Canada/NS-NML-48435/2021,hCoV-19/Canada/MB-NML-94837/2021,hCoV-19/Canada/NS-NML-117314/2021,hCoV-19/Canada/SK-NML-17324/2020,hCoV-19/Canada/NB-NML-3145/2020,hCoV-19/Canada/SK-NML-8817/2020,hCoV-19/Canada/NL-NML-62014/2021,hCoV-19/Canada/NL-NML-97340/2021,hCoV-19/Canada/SK-NML-89081/2021,hCoV-19/Canada/SK-NML-23573/2021,hCoV-19/Canada/SK-NML-95105/2021,hCoV-19/Canada/SK-NML-55807/2021,hCoV-19/Canada/MB-NML-70522/2021
Maria Victoria Elizondo et al	11	unknown	unknown	unknown	hCoV-19/Uruguay/UY-NYUMC847/2020,hCoV-19/Uruguay/UY-NYUMC875/2020,hCoV-19/Uruguay/UY-NYULH2047/2021,hCoV-19/Uruguay/UY-NYULH2196/2021,hCoV-19/Uruguay/UY-NYULH2144/2021,hCoV-19/Uruguay/UY-NYULH2148/2021,hCoV-19/Uruguay/UY-NYULH2174/2021,hCoV-19/Uruguay/UY-NYULH2158/2021,hCoV-19/Uruguay/UY-NYULH2143/2021,hCoV-19/Uruguay/UY-NYULH2088/2021,hCoV-19/Uruguay/UY-NYULH2136/2021
Paola Resende et al	25	unknown	unknown	unknown	hCoV-19/Bolivia/26958/2020,hCoV-19/Paraguay/33626/2020,hCoV-19/Guatemala/33893/2020,hCoV-19/Bolivia/26948/2020,hCoV-19/Bolivia/26952/2020,hCoV-19/Paraguay/33621/2020,hCoV-19/Brazil/MG-FIOCRUZ-22931/2020,hCoV-19/Paraguay/33612-R2/2020,hCoV-19/Bolivia/26939/2020,hCoV-19/Paraguay/33623/2020,hCoV-19/Paraguay/33619/2020,hCoV-19/Bolivia/26937/2020,hCoV-19/Paraguay/33615/2020,hCoV-19/Brazil/GO-FIOCRUZ-38199/2021,hCoV-19/Brazil/PA-FIOCRUZ-28736/2021,hCoV-19/Brazil/SC-FIOCRUZ-30619/2021,hCoV-19/Brazil/SP-FIOCRUZ-35274/2021,hCoV-19/Brazil/RJ-FIOCRUZ-9417/2021,hCoV-19/Brazil/SP-FIOCRUZ-35326/2021,hCoV-19/Haiti/27694/2021,hCoV-19/Brazil/RJ-FIOCRUZ-27316/2021,hCoV-19/Bolivia/21737/2021,hCoV-19/Brazil/RJ-FIOCRUZ-31146/2021,hCoV-19/Bahamas/33426/2021,hCoV-19/Jamaica/34728/2021
